Taxon,1,2,2a,3,4
Arthropoda,0,0,0,0,2
Margaritifera laosensis,0,0,2,0,2
Bivalvia,0,0,0,0,1
Cyclophorus sp. ,0,0,0,1,7
Gastropoda,0,0,9,0,22
Indochinamon sp. ,10,21,2,0,3
Chiroptera,0,104,7,1,189
Hipposideros bicolor,0,0,0,0,1
Hipposideros larvatus,0,14,0,0,5
Hipposideros sp. ,0,23,8,0,56
Sus sp. ,0,4,1,2,1
Muntiacus sp. ,0,2,0,1,10
Axis porcinus,0,3,0,0,0
Rusa unicolor,0,1,1,0,4
Rodentia,0,4,2,2,7
Sciuridae,3,2,0,0,1
Ratufa sp. ,0,1,0,0,0
Muridae,0,0,0,1,21
Lepus cf. peguensis,0,1,0,0,0
Carnivora,0,1,0,4,2
Canidae,0,0,0,2,1
Lutra sp. ,0,0,0,2,0
Viverridae,0,2,0,0,0
Hystricidae cf. ,0,1,0,1,0
Felidae,0,2,0,0,3
Felis sp. ,0,1,0,0,0
Arctictis binturong,0,0,0,1,0
Primate,0,0,0,0,2
Nycticebus sp. ,0,4,0,2,0
Macaca sp. ,0,2,0,2,2
Macaca cf. sp. ,0,4,0,0,0
Hylobates lar,0,4,0,1,0
"Mammalia, small",2,3,5,2,44
"Mammalia, medium",0,6,1,6,125
"Mammalia, large",0,0,0,2,131
"Mammalia, indeterminate",0,0,54,0,0
Avian,1,0,0,0,0
Passeriformes,2,0,0,1,0
Phasianidae,0,0,0,0,1
Indotestudo elongata,4,0,0,0,4
Siebenrockiella crassicollis,1,0,0,0,0
Testudinidae,0,0,0,1,2
Geoemydidae,1,1,0,1,14
Reptilia,0,0,0,1,8
Varanus sp. ,0,2,0,0,1
Serpentes ,0,1,0,0,2
Pythonidae,0,0,0,0,1
Anura,0,1,0,0,7
Anura cf. ,0,0,0,0,8
Cyprinidae,10,51,8,0,3
"Vertebrate, small/medium",0,0,0,0,1073
Vertebrate,0,43,0,70,0
Indeterminate,10,63,13,0,0
